Word,Seq_num,Word Count,Word Proportion,Average Proportion,Std Dev,Doc Count,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,Complexity,Syllables,Source
AARDVARK,1,814,3.09E-08,2.02E-08,4.06E-06,158,0,0,0,0,0,0,0,0,2,12of12inf
AARDVARKS,2,3,1.14E-10,7.90E-12,8.83E-09,1,0,0,0,0,0,0,0,0,2,12of12inf
ABACI,3,9,3.41E-10,1.07E-10,5.05E-08,7,0,0,0,0,0,0,0,0,3,12of12inf
ABACK,4,29,1.10E-09,6.07E-10,1.52E-07,28,0,0,0,0,0,0,0,0,2,12of12inf
ABACUS,5,9921,3.76E-07,3.84E-07,3.39E-05,1355,0,0,0,0,0,0,0,0,3,12of12inf
ABACUSES,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABAFT,7,4,1.52E-10,2.10E-11,2.35E-08,1,0,0,0,0,0,0,0,0,2,12of12inf
ABALONE,8,151,5.72E-09,4.68E-09,1.02E-06,54,0,0,0,0,0,0,0,0,4,12of12inf
ABALONES,9,1,3.79E-11,7.56E-11,8.45E-08,1,0,0,0,0,0,0,0,0,4,12of12inf
ABANDON,10,161792,6.13E-06,4.84E-06,3.24E-05,79131,2009,0,0,0,0,0,0,0,3,12of12inf
ABANDONED,11,266115,1.01E-05,1.03E-05,9.00E-05,117356,2009,0,0,0,0,0,0,0,3,12of12inf
ABANDONING,12,23033,8.73E-07,8.22E-07,1.19E-05,14413,2009,0,0,0,0,0,0,0,4,12of12inf
ABANDONMENT,13,324108,1.23E-05,1.20E-05,7.96E-05,108201,2009,0,0,0,0,0,0,0,4,12of12inf
ABANDONMENTS,14,17763,6.73E-07,9.07E-07,2.23E-05,7397,2009,0,0,0,0,0,0,0,4,12of12inf
ABANDONS,15,8068,3.06E-07,1.62E-07,3.53E-06,5787,2009,0,0,0,0,0,0,0,3,12of12inf
ABASE,16,49,1.86E-09,2.30E-09,5.81E-07,43,0,0,0,0,0,0,0,0,2,12of12inf
ABASED,17,75,2.84E-09,6.75E-09,1.74E-06,62,0,0,0,0,0,0,0,0,2,12of12inf
ABASEMENT,18,15,5.69E-10,2.38E-10,9.96E-08,11,0,0,0,0,0,0,0,0,3,12of12inf
ABASEMENTS,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABASES,20,3,1.14E-10,1.26E-10,9.95E-08,3,0,0,0,0,0,0,0,0,3,12of12inf
ABASH,21,5,1.90E-10,1.01E-10,5.16E-08,5,0,0,0,0,0,0,0,0,2,12of12inf
ABASHED,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
ABASHEDLY,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12of12inf
ABASHES,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABASHING,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABASHMENT,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABASHMENTS,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABASING,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABATE,29,35169,1.33E-06,8.79E-07,1.17E-05,20314,0,0,0,0,0,0,0,0,2,12of12inf
ABATED,30,41962,1.59E-06,9.30E-07,1.19E-05,19485,0,0,0,0,0,0,0,0,3,12of12inf
ABATEMENT,31,163128,6.18E-06,3.49E-06,3.79E-05,49459,0,0,0,0,0,0,0,0,3,12of12inf
ABATEMENTS,32,25559,9.69E-07,6.76E-07,1.41E-05,11889,0,0,0,0,0,0,0,0,3,12of12inf
ABATES,33,1037,3.93E-08,2.81E-08,1.81E-06,740,0,0,0,0,0,0,0,0,2,12of12inf
ABATING,34,2620,9.93E-08,6.66E-08,2.61E-06,1907,0,0,0,0,0,0,0,0,3,12of12inf
ABATTOIR,35,201,7.62E-09,4.97E-09,7.23E-07,80,0,0,0,0,0,0,0,0,3,12of12inf
ABATTOIRS,36,160,6.06E-09,4.08E-09,9.56E-07,51,0,0,0,0,0,0,0,0,3,12of12inf
ABBE,37,624,2.37E-08,2.56E-08,4.53E-06,255,0,0,0,0,0,0,0,0,1,12of12inf
ABBES,38,11,4.17E-10,1.73E-10,1.12E-07,5,0,0,0,0,0,0,0,0,2,12of12inf
ABBESS,39,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12of12inf
ABBESSES,40,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12of12inf
ABBEY,41,6023,2.28E-07,2.44E-07,2.26E-05,1826,0,0,0,0,0,0,0,0,2,12of12inf
ABBEYS,42,3,1.14E-10,1.10E-10,9.12E-08,3,0,0,0,0,0,0,0,0,2,12of12inf
