stopcount,n,precision,recall,f_measure,hit_ratio,dataset
5,15,0.10540184453227931,20.0,0.20956204003911275,0.2,Amazon
5,15,0.3604647097340381,14.534252535465884,0.70254192566278,0.9333333333333333,MovieLens
10,15,0.20113116674321052,40.0,0.3999036070647323,0.4,Amazon
10,15,0.43989940889255785,15.110439072218647,0.8536979198457988,0.9333333333333333,MovieLens
15,15,0.18237400739966972,40.0,0.3625832531459298,0.4,Amazon
15,15,0.5860704414751924,14.801348163127738,1.122289451057195,0.9333333333333333,MovieLens
20,15,0.10005180199512982,40.0,0.1993587437893723,0.4,Amazon
20,15,0.48010225804984,16.195287557067132,0.9309588230635282,0.9333333333333333,MovieLens
30,15,0.2582664347306618,46.666666666666664,0.5109204105386365,0.4666666666666667,Amazon
30,15,0.3827832223877698,13.19317952017649,0.7419788782151115,0.9333333333333333,MovieLens
