K,inertia,silhouette,davies_bouldin,calinski_harabasz
4,649.8417037718948,0.49175567301614254,0.6652706523463876,1054.6526873076136
8,238.51879869939165,0.5694339887743413,0.6190705414821744,1518.7411851606278
12,124.7349977620091,0.6270787465592452,0.5877391860428824,1939.6141531959177
16,81.44301582971727,0.632321866700841,0.5466111845422132,2212.716403701534
20,52.05202259258846,0.8414516419438836,0.4990810261544881,2758.747221732223
24,31.99645263005599,0.887337992108736,0.4617756864603863,3726.5736264838138
28,20.76126585344004,0.9181734317688265,0.459152447818944,4898.938863323174
32,12.998480310861423,0.9289304163043142,0.4079016135179151,6813.880311902383
36,8.571860828949575,0.9387418828816578,0.3886454927605955,9137.237544516069
40,4.880442480031512,0.9574108779254686,0.27625144924782036,14374.824234820026
44,3.0004056631882836,0.9659301546366805,0.2331918257810273,21149.950427770957
48,1.897836421301076,0.968511728876948,0.21335775051499725,30498.971539227725
52,1.031185207982943,0.9747914742629249,0.1811504951545651,51566.84733776874
56,0.5359419871340201,0.9812506322334178,0.14347746750492268,91697.90661651277
60,0.24892092293428367,0.9806908785250497,0.09023108965368025,183419.5237099065
