K,inertia,silhouette,davies_bouldin,calinski_harabasz
4,163892.55172570475,0.09481026590770239,2.50610680722337,655.3893200080221
8,127647.11312720766,0.15753645823455675,1.6385194437542567,727.9093223268143
12,97397.14798602194,0.21824630991521857,1.3685504860231008,862.4525733893491
16,77121.91399316658,0.25820132037920396,1.2272308372849672,957.0019043355029
20,66666.69046670114,0.269206337993518,1.1607811181402232,948.2964325405264
24,61539.13110689477,0.2941378434829958,1.28101597891721,881.0287882662508
28,56353.42677036841,0.317472177761823,1.2212247065085666,850.0091760471652
32,54413.77981030264,0.3177411146703225,1.4729099616381436,776.7691327819712
36,50429.621717738824,0.3342101547999178,1.2585424882240486,762.40715974536
40,47893.011011607196,0.33142914720029004,1.3719330616838123,732.3864148467543
44,45490.31819523251,0.34927787453476156,1.364784960205036,710.1139413125404
48,43728.43815556385,0.34092718873418715,1.3637616008187192,683.2863356381133
52,41862.91312974881,0.34462101815054574,1.4670481854917017,665.3406685403578
56,40799.18649253894,0.33852377297534464,1.4401808802408258,637.0277861762057
60,39270.512097352104,0.34532041682148473,1.3586242887584952,622.6237599998881
