K,inertia,silhouette,davies_bouldin,calinski_harabasz
4,10108.141236104042,0.12442811061340754,2.0250685755748834,102.36381820069822
8,8371.82218308032,0.10485626553512804,1.9866278391526533,72.29502900097779
12,7558.917909578254,0.10274081912232715,1.8665622415843532,57.08887236808187
16,6960.291861326978,0.10457136553498503,1.8694996305335039,48.94544589644636
20,6566.798708426909,0.0891445654366142,1.8141024212060461,42.75956798736487
24,6177.226597893268,0.0919090803202734,1.7634029676891185,39.094147589437284
28,5906.1737061562035,0.09134043415253748,1.7945439003942294,35.70837461150691
32,5565.824208955893,0.11154442028028913,1.6964931263224896,34.057827648109715
36,5324.973647196833,0.10791373533080648,1.7718650649442418,32.15313958641217
40,5143.06702059003,0.1003060173163284,1.659369252935679,30.26003787188753
44,4994.463491047338,0.10497371014851732,1.6967496199226135,28.516438587755832
48,4746.230322952862,0.11106038259569118,1.5861715323670704,27.972140953517663
52,4673.300760636086,0.10143582859589209,1.5186578045862882,26.201847595340972
56,4461.004380432094,0.10447430821453255,1.565691942339619,25.820162969343947
60,4326.776342565388,0.11194433997829475,1.4374603433840505,24.97620865226626
